,name,class_id,state_id,child_ids,id,entityType,discovery_id
0,ROOT,1,7,"['65ec11c589ce591d4125ce13', '65ec11c789ce591d4125ce25', '6645d99d57385a1bad5e9ea8']",1,1,
1,10.0.2.2,3,7,['65ec11c589ce591d4125ce1e'],65ec11c589ce591d4125ce13,1,10.0.2.2
2,Ping,50,7,[],65ec11c589ce591d4125ce1e,1,
3,10.0.2.3,3,7,['65ec11c789ce591d4125ce30'],65ec11c789ce591d4125ce25,1,10.0.2.3
4,Ping,50,7,[],65ec11c789ce591d4125ce30,1,
5,Модель сервисов СПБ,30,1,"['664afeac03d90817f86d0245', '664afead03d90817f86d024c', '664afead03d90817f86d0253', '664afead03d90817f86d025a']",6645d99d57385a1bad5e9ea8,1,
6,Система мониторинга,30,1,['664afeae03d90817f86d0261'],664afeac03d90817f86d0245,1,
7,СХД,30,1,['664afeae03d90817f86d0268'],664afead03d90817f86d024c,1,
8,БД,30,1,['664afeae03d90817f86d026f'],664afead03d90817f86d0253,1,
9,Виртуализация,30,1,['664afeae03d90817f86d0276'],664afead03d90817f86d025a,1,
10,SolarWinds,15,1,[],664afeae03d90817f86d0261,1,
11,Ленточная библиотека,15,1,[],664afeae03d90817f86d0268,1,
12,КСУИТ,15,1,[],664afeae03d90817f86d026f,1,
13,Целевая инфраструктура ТК,15,1,[],664afeae03d90817f86d0276,1,
